projectid,plotid,naam,bzdid,datum,begintijd,eindtijd,bezoekduur,aantal_minuten,gunstig,omst_opm,opm,waarnemerid,jaar,doy,nsoort,nrecord
252,17824,"De Onlanden, P4, Peizerwering",4107162,20-May,05:11:00,08:28:00,03:17:12,197.2,,,,24824,2025,140,27,101
252,17824,"De Onlanden, P4, Peizerwering",4116677,11-Jun,11:50:00,12:40:00,00:50:18,50.3,,,,24824,2025,162,8,16
252,18556,"De Onlanden, P7, Weeringsbroeken",4079477,21-Mar,06:30:00,10:40:00,04:10:00,250,TRUE,,,25206,2025,80,14,56
252,18556,"De Onlanden, P7, Weeringsbroeken",4083896,03-Apr,06:45:00,09:40:00,02:55:00,175,TRUE,,,25206,2025,93,15,58
252,18556,"De Onlanden, P7, Weeringsbroeken",4090610,16-Apr,06:15:00,09:30:00,03:15:00,195,TRUE,,,25206,2025,106,22,124
252,18556,"De Onlanden, P7, Weeringsbroeken",4093307,22-Apr,12:00:00,12:05:00,00:05:00,5,TRUE,,,25206,2025,112,2,3
252,18556,"De Onlanden, P7, Weeringsbroeken",4097850,30-Apr,05:50:00,10:00:00,04:10:00,250,TRUE,,,25206,2025,120,20,152
252,18556,"De Onlanden, P7, Weeringsbroeken",4105751,16-May,05:30:00,09:30:00,04:00:00,240,TRUE,,,25206,2025,136,20,149
252,18556,"De Onlanden, P7, Weeringsbroeken",4111932,01-Jun,00:01:00,01:00:00,00:59:00,59,TRUE,,,25206,2025,152,3,4
252,18556,"De Onlanden, P7, Weeringsbroeken",4113705,04-Jun,05:00:00,08:00:00,03:00:00,180,TRUE,,,25206,2025,155,14,119
252,19410,Plot 2 Steegsdennen,4082057,29-Mar,09:09:00,11:19:00,02:09:53,129.8833333,,,2 maal reegeit,21,2025,88,23,95
252,19410,Plot 2 Steegsdennen,4086517,08-Apr,09:03:00,11:10:00,02:07:04,127.0666667,,,6 zandhagedissen lagen te zonnen,21,2025,98,28,150
252,19410,Plot 2 Steegsdennen,4095905,26-Apr,09:15:00,11:40:00,02:25:09,145.15,,,de hotspot van hoge veluwe bonte vliegenvanger,21,2025,116,26,168
252,19410,Plot 2 Steegsdennen,4100920,06-May,09:16:00,11:41:00,02:25:56,145.9333333,,,,21,2025,126,30,160
252,19410,Plot 2 Steegsdennen,4106244,17-May,09:04:00,11:17:00,02:13:03,133.05,,,,21,2025,137,25,132
252,19410,Plot 2 Steegsdennen,4111502,31-May,09:03:00,11:27:00,02:24:24,144.4,,,2 zandhagedissen en hinde met kalf,21,2025,151,30,145
252,19410,Plot 2 Steegsdennen,4116081,10-Jun,09:15:00,11:15:00,01:59:34,119.5666667,,,"hinde met kalf, veel jonge vogels, veel wind en net voor de bui klaar",21,2025,161,22,94
252,23294,"De Onlanden, P12, Eeldermaden Zuidoost",4076612,08-Mar,08:49:00,11:35:00,02:46:07,166.1166667,,,,27602,2025,67,16,59
252,23294,"De Onlanden, P12, Eeldermaden Zuidoost",4080140,23-Mar,06:28:00,08:25:00,01:57:10,117.1666667,,,,27602,2025,82,14,37
252,23294,"De Onlanden, P12, Eeldermaden Zuidoost",4086451,08-Apr,06:53:00,09:45:00,02:52:06,172.1,,,,27602,2025,98,18,70
252,23294,"De Onlanden, P12, Eeldermaden Zuidoost",4089940,15-Apr,06:45:00,09:23:00,02:37:23,157.3833333,,,,27602,2025,105,18,84
252,23294,"De Onlanden, P12, Eeldermaden Zuidoost",4095584,25-Apr,15:56:00,17:34:00,01:38:00,98,,,"Ik zocht vanwege daglicht naar steltkluut; die was er niet. De kraanvogels daarentegen waren er weer en hielden zich twee dagen geleden, 23 april, op dezelfde plek op. Ook vloog een kraanvogelpaar over in oostelijke richting (niet genoteerd).",27602,2025,115,18,27
252,23294,"De Onlanden, P12, Eeldermaden Zuidoost",4097110,27-Apr,11:04:00,12:30:00,01:26:00,86,,,,27602,2025,117,12,35
252,23294,"De Onlanden, P12, Eeldermaden Zuidoost",4097477,29-Apr,10:13:00,11:22:00,01:09:00,69,,,,27602,2025,119,14,34
252,23294,"De Onlanden, P12, Eeldermaden Zuidoost",4104373,05-May,20:55:00,21:42:00,00:47:00,47,,,,27602,2025,125,8,24
252,23294,"De Onlanden, P12, Eeldermaden Zuidoost",4104374,06-May,20:37:00,21:35:00,00:58:00,58,,,,27602,2025,126,13,23
252,23294,"De Onlanden, P12, Eeldermaden Zuidoost",4104739,13-May,06:19:00,10:40:00,04:21:10,261.1666667,,,,27602,2025,133,29,110
252,23294,"De Onlanden, P12, Eeldermaden Zuidoost",4109880,25-May,21:13:00,22:06:00,00:53:05,53.08333333,,,,27602,2025,145,15,35
252,23294,"De Onlanden, P12, Eeldermaden Zuidoost",4109881,26-May,20:41:00,22:10:00,01:28:51,88.85,,,,27602,2025,146,20,43
252,23294,"De Onlanden, P12, Eeldermaden Zuidoost",4113232,03-Jun,05:33:00,08:30:00,02:56:54,176.9,,,,27602,2025,154,26,84
252,23294,"De Onlanden, P12, Eeldermaden Zuidoost",4117551,14-Jun,05:21:00,07:52:00,02:31:35,151.5833333,,,,27602,2025,165,22,57
252,23491,"De Onlanden, P3, De Kampjes",4080060,22-Mar,06:33:00,08:40:00,02:07:00,127,,,,24662,2025,81,15,36
252,23491,"De Onlanden, P3, De Kampjes",4084417,04-Apr,06:22:00,08:56:00,02:34:00,154,,,,24662,2025,94,25,70
252,23491,"De Onlanden, P3, De Kampjes",4091891,19-Apr,05:49:00,08:35:00,02:46:00,166,,,,24662,2025,109,21,74
252,23491,"De Onlanden, P3, De Kampjes",4097187,29-Apr,05:13:00,07:41:00,02:28:00,148,,,mist,24662,2025,119,20,75
252,23491,"De Onlanden, P3, De Kampjes",4103689,11-May,05:00:00,07:34:00,02:34:00,154,,,,24662,2025,131,26,100
252,23491,"De Onlanden, P3, De Kampjes",4109143,24-May,04:30:00,07:10:00,02:40:00,160,,,,24662,2025,144,24,81
252,23491,"De Onlanden, P3, De Kampjes",4115432,09-Jun,04:13:00,07:06:00,02:53:00,173,,,,24662,2025,160,22,78
252,25805,"De Onlanden, P5, Eeldermaden Noordoost",4081359,27-Mar,06:27:00,09:01:00,02:34:39,154.65,,,,24824,2025,86,24,87
252,25805,"De Onlanden, P5, Eeldermaden Noordoost",4088760,09-Apr,06:32:00,10:21:00,03:49:17,229.2833333,,,,24824,2025,99,22,89
252,25805,"De Onlanden, P5, Eeldermaden Noordoost",4089753,05-Mar,11:11:00,12:57:00,01:45:38,105.6333333,,,,39504,2025,64,4,22
252,25805,"De Onlanden, P5, Eeldermaden Noordoost",4097612,29-Apr,19:11:00,21:25:00,02:14:13,134.2166667,,,,24824,2025,119,24,69
252,25805,"De Onlanden, P5, Eeldermaden Noordoost",4107161,20-May,05:11:00,08:27:00,03:16:35,196.5833333,,,,24824,2025,140,27,104
252,25805,"De Onlanden, P5, Eeldermaden Noordoost",4116678,11-Jun,11:50:00,12:40:00,00:49:46,49.76666667,,,,24824,2025,162,14,39
252,27441,Drempel OVP,4089850,14-Apr,18:07:00,20:07:00,02:00:00,120,,,"wind matig, sluierbewolking",21844,2025,104,24,149
252,27441,Drempel OVP,4089851,14-Apr,20:36:00,22:06:00,01:30:00,90,,,"avondronde nacht actieve soorten, wind matig,  geen ph",21844,2025,104,1,1
252,27441,Drempel OVP,4097615,29-Apr,18:38:00,22:36:00,03:58:00,238,,,"wind matig, helder",21844,2025,119,28,154
252,27441,Drempel OVP,4097756,30-Apr,06:23:00,09:35:00,03:12:00,192,,,"wind zwak, helder",21844,2025,120,34,200
252,27441,Drempel OVP,4102901,08-May,06:04:00,08:31:00,02:27:00,147,,,"wind zwak, helder",21844,2025,128,19,210
252,27441,Drempel OVP,4102902,08-May,18:37:00,22:39:00,04:02:00,242,,,"wind matig, grotendeels helder",21844,2025,128,23,151
252,27441,Drempel OVP,4107950,20-May,18:59:00,22:42:00,03:43:00,223,,,"wind matig, helder",21844,2025,140,17,146
252,27441,Drempel OVP,4116812,12-Jun,05:16:00,08:23:00,03:07:00,187,,,"helder, stevige wind",21844,2025,163,21,141
252,27443,Grote Plas OVP,4090018,15-Apr,06:53:00,08:20:00,01:27:00,87,,,"wind matig, helder",21844,2025,105,18,72
252,27443,Grote Plas OVP,4097120,28-Apr,18:42:00,22:12:00,03:30:00,210,,,,21844,2025,118,19,65
252,27443,Grote Plas OVP,4097616,29-Apr,06:44:00,09:37:00,02:53:00,173,,,,21844,2025,119,21,84
252,27443,Grote Plas OVP,4102903,07-May,18:36:00,22:14:00,03:38:00,218,,,"wind aan begin hard tegen eind matig, waarneemkans negatief beïnvloed, wegtrekkende bewolking",21844,2025,127,17,54
252,27443,Grote Plas OVP,4102904,09-May,06:17:00,09:04:00,02:47:00,167,,,"wind zwak, helder",21844,2025,129,24,101
252,27443,Grote Plas OVP,4107951,21-May,05:49:00,08:40:00,02:51:00,171,,,"wind matig tot krachtig, grotendeels helder, korte tijd sluierbewolking",21844,2025,141,22,105
252,27443,Grote Plas OVP,4116811,11-Jun,19:15:00,22:10:00,02:55:00,175,,,"wind matig afnemend naar zwak, heldere lucht",21844,2025,162,17,92
252,28568,AWD Zeeveld noord,4083247,01-Apr,07:42:00,09:50:00,02:08:00,128,,,,26340,2025,91,11,38
252,28568,AWD Zeeveld noord,4088576,11-Apr,07:11:00,09:13:00,02:02:00,122,,,,26340,2025,101,14,49
252,28568,AWD Zeeveld noord,4095623,25-Apr,07:19:00,09:17:00,01:58:00,118,,,,26340,2025,115,17,49
252,28568,AWD Zeeveld noord,4103692,09-May,07:55:00,10:31:00,02:36:00,156,,,,26340,2025,129,15,49
